_NAMESPACE48::_0xEB98B38CA60742D7, 2334
NETWORK::NETWORK_IS_IN_SESSION, 2330
ANIMSCENE::_0x005E6F28DD7ED58D, 2328
PED::GET_VEHICLE_PED_IS_IN, 2313
ENTITY::SET_ENTITY_HEADING, 2311
HUD::_0x2C729F2B94CEA911, 2307
PED::_0x285D36C5C72B0569, 2292
UILOG::_UILOG_MARK_ENTRY_AVAILABILITY, 2283
STREAMING::SET_MODEL_AS_NO_LONGER_NEEDED, 2282
_NAMESPACE71::_0xC17F69E1418CD11F, 2269
CAM::_0xE296208C273BD7F0, 2256
MISC::_DOES_STRING_EXIST_IN_STRING, 2256
WEAPON::_0x67E21ACC5C0C970C, 2255
PLAYER::IS_PLAYER_DEAD, 2251
MAP::GET_BLIP_FROM_ENTITY, 2249
INVENTORY::_0x025A1B1FB03FBF61, 2243
GRAPHICS::ANIMPOSTFX_PLAY, 2239
ENTITY::GET_OBJECT_INDEX_FROM_ENTITY_INDEX, 2226
BUILTIN::WAIT, 2225
PLAYER::NETWORK_PLAYER_ID_TO_INT, 2224
ENTITY::IS_ENTITY_ON_SCREEN, 2223
ITEMSET::ADD_TO_ITEMSET, 2220
WEAPON::_0xD42514C182121C23, 2207
PED::SET_PED_CAN_USE_AUTO_CONVERSATION_LOOKAT, 2191
VOLUME::_0x769BB7626B8CDB06, 2175
PHYSICS::_0x0348469DAA17576C, 2174
ANIMSCENE::SET_ANIM_SCENE_ORIGIN, 2172
EVENT::_0x822A001BCEA5BD81, 2171
ENTITY::IS_ENTITY_AN_OBJECT, 2157
TASK::CLEAR_PED_SECONDARY_TASK, 2149
POPULATION::_0x74C2B3DC0B294102, 2137
UILOG::_UILOG_SET_PENDING_DETAILS_ID, 2124
NETWORK::GET_NETWORK_TIME_ACCURATE, 2113
ENTITY::IS_ENTITY_A_VEHICLE, 2112
STATS::_0x01F4D242765C6B24, 2109
WEAPON::_0xF8204EF17410BF43, 2103
CAM::_0xA24C1D341C6E0D53, 2098
HUD::_0xD8402B858F4DDD88, 2090
POPULATION::_0x18262CAFEBB5FBE1, 2073
ANIMSCENE::_0x8D81E7824B7753F7, 2072
SCRIPTS::_DOES_THREAD_EXIST, 2072
ENTITY::SET_ENTITY_PROOFS, 2069
TASK::_0x0C3CB2E600C8977D, 2065
HUD::_0xD0976CC34002DB57, 2061
STREAMING::_0x19A6BE7D9C6884D3, 2055
VOLUME::_CREATE_VOLUME_BOX, 2055
DATABINDING::_DATABINDING_ADD_DATA_STRING, 2049
PED::_0x7F9B9791D4CB71F6, 2044
BUILTIN::VMAG, 2038
PED::_0xD806CD2A4F2C2996, 2035
ANIMSCENE::_0xB89FCFF19DAFFF28, 2012
CAM::SET_GAMEPLAY_CAM_RELATIVE_HEADING, 2006
